處理的字串,predict
播放小紅帽的兒童故事,(6 10 audiobook_category)
播放起風了,(2 5 song)
那遙控器呢,(0 5 song)
愛我你就抱抱我,(0 7 song)
我要聽張信哲的歌,(3 6 artist)
幫我播放大自然音樂,(4 9 artist)
學貓叫,(0 3 song)
我要聽靈魂音樂,(3 7 category)
兩隻老虎,(0 4 song)
愛我你就抱抱我,(0 7 song)
我要聽華語新歌,(3 5 language)
我要聽日文歌,(3 5 language)
涼涼,(0 2 song)
我要聽防彈少年團的歌,(3 8 artist)
我要聽新歌,(3 5 keyword)
播放一曲相思,(2 6 song)
愛我你就抱抱我,(0 7 song)
我要聽光年之外,(3 7 song)
我要聽張學友的歌,(3 6 artist)
輕音樂,(0 3 category)
我要聽西洋排行榜,(3 5 language)
我要聽西遊記,(3 6 audiobook)
我要聽英文版拇指姑娘,(3 10 audiobook)
我要聽華語新歌,(3 5 language)
愛我你就抱抱我,(0 7 song)
tfboys,(0 4 song)
我要聽于文文的歌,(3 6 artist)
播放一曲相思,(2 6 song)
兩隻老虎,(0 4 song)
我要聽嘻哈音樂,(3 5 category)
我要聽鄧麗君的歌,(3 6 artist)
小小牛頓故事,(0 4 audiobook_category)
播放起風了,(2 5 song)
涼涼,(0 2 song)
我要聽鬼故事,(3 6 audiobook_category)
小安,(0 2 artist)
我要聽華語新歌,(3 5 language)
我要聽光年之外,(3 7 song)
西洋音樂,(0 2 language)
我要聽生僻字,(3 6 song)
學貓叫,(0 3 song)
我要聽嘻哈音樂,(3 5 category)
我想聽華語排行榜,(3 5 language)
我要聽光年之外,(3 7 song)
我要聽田馥甄的歌,(3 6 artist)
阿拉丁主題曲,(3 6 song)
我要聽爵士音樂,(3 5 category)
許富凱,(0 3 artist)
我要聽紅蜻蜓,(3 6 song)
我要聽粵語歌,(3 5 language)
我要聽追光者,(3 6 song)
我要聽留不住的故事,(3 9 song)
我要聽搖滾音樂,(3 5 category)
我要聽鄧麗君的歌,(3 6 artist)
我要聽小蘋果,(3 6 song)
播放音樂,(0 4 song)
我要聽張信哲的歌,(3 6 artist)
播放一曲相思,(2 6 song)
郭德綱的節目,(0 3 artist)
放山中客,(1 4 song)
我要聽光年之外,(3 7 song)
我要聽于文文的歌,(3 6 artist)
沙漠駱駝,(0 4 song)
我要聽派對動物,(3 7 song)
我要聽橄欖樹,(3 6 song)
我要聽嘻哈音樂,(3 5 category)
我想要聽周杰倫的告白氣球,(4 7 artist) (8 12 song)
播放芭比的触电,(2 4 artist)
我要聽日文歌,(3 5 language)
音樂熱門,(2 4 keyword)
你要的全拿走,(0 6 song)
我要聽于文文的歌,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
幫我播潘越雲的歌,(3 6 artist)
我要聽喬幼的歌,(3 5 artist)
我要聽琅琊榜,(3 6 song)
我要聽新歌排行榜,(5 8 keyword)
華語排行榜,(0 2 language)
我要聽爵士音樂排行榜,(3 5 category) (7 10 keyword)
我要聽林俊傑的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽于文文的歌,(3 6 artist)
我要聽江蕙的歌,(3 5 artist)
我要聽小火龍的飛行的歌,(3 6 artist) (7 9 song)
我要聽古典音樂,(3 5 category)
愛我你就抱抱我,(0 7 song)
我要聽老歌,(3 5 theme)
我要聽獨立音樂,(3 5 category)
唱一首伍佰的浪人情歌,(3 5 artist) (6 10 song)
我要聽爵士音樂,(3 5 category)
兩隻老虎,(0 4 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽華語新歌,(3 5 language)
播放芭比的觸電,(2 4 artist) (5 7 song)
彭佳慧,(0 3 artist)
寶貝寶貝,(0 4 song)
鋼琴音樂,(0 4 artist)
我要聽薛之謙的歌,(3 6 artist)
我想聽無言的結局,(3 8 song)
我要聽走到飛,(3 6 song)
我要聽田馥甄的歌,(3 6 artist)
兩隻老虎,(0 4 song)
愛我你就抱抱我,(0 7 song)
我想聽西語,(3 5 language)
我要聽白雪公主,(3 7 audiobook)
我要聽相聲,(3 5 audiobook_category)
唱一首小蘋果,(3 6 song)
播放我的滑板鞋,(2 7 song)
我要聽搖滾音樂,(3 5 category)
葉倩文的哭砂,(0 3 artist) (4 6 song)
我要聽防彈少年團的歌,(3 8 artist)
我要聽華語新歌,(3 5 language)
我要聽粵語歌,(3 5 language)
我要聽米希亞的歌,(4 8 song)
我要聽吻別,(3 5 song)
我想聽新歌,(3 5 keyword)
我要聽有點野,(3 6 album)
我要聽蕭敬騰的歌,(3 6 artist)
生僻字,(0 3 song)
我要聽新歌,(3 5 keyword)
我要聽周杰倫的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
方大同,(0 3 artist)
播放一曲相思,(2 6 song)
播放一曲相思,(2 6 song)
我要聽宇多田光的歌,(3 7 artist)
兩隻老虎,(0 4 song)
我要聽鬼故事,(3 6 audiobook_category)
我要聽新歌排行榜,(5 8 keyword)
播放一曲相思,(2 6 song)
我要聽琅琊榜,(3 6 song)
我要聽歪批三國,(3 7 song)
愛我你就抱抱我,(0 7 song)
我要聽江蕙的歌,(3 5 artist)
我要聽老歌,(3 5 theme)
我要聽小星星,(3 6 song)
我要聽兒歌,(3 5 song)
我要聽英文版拇指姑娘,(3 10 audiobook)
我要聽我好嗎,(3 6 song)
中國民間,(0 4 album)
兩隻老虎,(0 4 song)
我要聽田馥甄的歌,(3 6 artist)
沙漠駱駝,(0 4 song)
西洋音樂,(0 2 language)
胡彥斌,(0 3 artist)
葉倩文的哭砂,(0 3 artist) (4 6 song)
李翊君,(0 3 artist)
我知道,(0 3 song)
我要聽伍佰的歌,(3 6 album)
播放起風了,(2 5 song)
郭富城,(0 3 artist)
我要聽田亮流年,(5 7 song)
我要聽台語歌,(3 5 language)
我想聽可不可以,(3 7 song)
我要聽台語排行榜,(3 5 language)
我要聽陳綺貞的華麗的冒險,(3 6 artist) (7 12 album)
我要聽煙花易冷,(3 7 song)
涼涼,(0 2 song)
放音樂,(0 3 song)
愛我你就抱抱我,(0 7 song)
我要聽光年之外,(3 7 song)
我要聽童謠,(3 5 theme)
我要聽周杰倫的歌,(3 6 artist)
學貓叫,(0 3 song)
我要聽粵語歌,(3 5 language)
我要聽青春修煉手冊,(3 9 song)
學貓叫,(0 3 song)
我要聽日文歌,(3 5 language)
黃鶯鶯,(0 3 artist)
我要聽兒歌,(3 5 song)
两只老虎,(0 4 song)
烽火天榜,(0 4 song)
唱一首小蘋果,(3 6 song)
我要聽悲傷的歌曲,(3 5 theme)
涼涼,(0 2 song)
我要聽新歌,(3 5 keyword)
我要聽台語歌,(3 5 language)
我要聽林俊傑的歌,(3 6 artist)
我要聽田馥甄的歌,(3 6 artist)
我要聽小野麗莎的歌,(3 7 artist)
三隻小豬的故事給我聽,(0 4 audiobook)
我要聽孫露的歌,(3 5 artist)
校園民歌,(2 4 album)
我要聽宇多田的歌,(5 7 song)
我要聽準備中,(3 6 album)
我要聽it's my life,(3 8 song)
謝雷,(0 2 artist)
我要聽買榜,(3 5 song)
我要聽黃明志的歌,(3 6 artist)
我要聽節奏藍調音樂,(3 7 category)
學貓叫,(0 3 song)
涼涼,(0 2 song)
心經,(0 2 song)
愛江山愛美人,(1 3 album)
唱一首小蘋果,(3 6 song)
學貓叫,(0 3 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽 Alan Walker 的歌,(4 7 artist)
我要聽江蕙的歌,(3 5 artist)
我要聽西洋排行榜,(3 5 language)
我要聽伍佰的歌,(3 6 album)
愛我你就抱抱我,(0 7 song)
播放一曲相思,(2 6 song)
播放國語歌曲,(2 4 language)
電子,(0 2 category)
烽火天榜,(0 4 song)
我要聽日文歌,(3 5 language)
我要聽嘻哈音樂,(3 5 category)
我要聽林俊傑的歌,(3 6 artist)
播放起風了,(2 5 song)
我要聽故事,(0 5 general_audiobook)
我要聽搖滾音樂,(3 5 category)
愛我你就抱抱我,(0 7 song)
康康,(0 2 artist)
愛我你就抱抱我,(0 7 song)
播放一曲相思,(2 6 song)
我要聽吳卓源是不是有點心動,(3 6 artist)
學貓叫,(0 3 song)
西洋音樂,(0 2 language)
我要聽節奏藍調音樂,(3 7 category)
我要聽庾澄慶和班長,(3 6 artist)
兩隻老虎,(0 4 song)
唱一首小蘋果,(3 6 song)
播放音樂,(0 4 song)
我要聽英文排行榜,(3 5 language)
我要聽小野麗莎的歌,(3 7 artist)
我要聽薛之謙的歌,(3 6 artist)
我要聽把悲傷留給自己,(3 10 song)
學貓叫,(0 3 song)
我要聽于文文的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽扶搖,(3 5 song)
學貓叫,(0 3 song)
我要聽台語歌,(3 5 language)
我要聽吳卓源的歌,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
我想聽日文老歌,(3 5 language)
我要聽買榜,(3 5 song)
我要聽陳綺貞的歌,(3 6 artist)
播放音樂,(0 4 song)
我要聽煙花易冷,(3 7 song)
我要聽光年之外,(3 7 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽陳綺貞的歌,(3 6 artist)
我要聽買榜,(3 5 song)
我要聽嘻哈排行榜,(3 5 category)
我要聽光年之外,(3 7 song)
兩隻老虎,(0 4 song)
我要聽蕭敬騰的歌,(3 6 artist)
我要聽worth it,(3 5 song)
我要聽鬼故事,(3 6 audiobook_category)
兩隻老虎,(0 4 song)
西洋音樂,(0 2 language)
我要聽粵語歌,(3 5 language)
播放一曲相思,(2 6 song)
播苦行僧,(1 4 song)
我要聽江蕙的歌,(3 5 artist)
我要聽嘻哈音樂,(3 5 category)
往後餘生,(0 4 song)
我要聽吳卓源的歌,(3 6 artist)
我要聽我好嗎,(3 6 song)
我要聽快樂頌,(3 6 song)
播放一曲相思,(2 6 song)
我要聽古典音樂,(3 5 category)
我要聽你喜歡我的歌嗎,(3 10 song)
我要聽華語新歌,(3 5 language)
我要聽周杰倫的歌,(3 6 artist)
我要聽復古的歌曲,(3 5 theme)
我要聽張惠妹的歌,(3 6 artist)
大悲咒,(0 3 song)
西洋音樂,(0 2 language)
我想聽有點甜,(3 6 song)
我要聽防彈少年團的歌,(3 8 artist)
我要播戴佩妮的怎樣,(3 6 artist) (7 9 song)
我要聽搖滾音樂,(3 5 category)
播放日語歌,(2 4 language)
追追追,(0 3 song)
我要聽防彈少年團的歌,(3 8 artist)
我要聽江蕙的歌,(3 5 artist)
我要聽周杰倫的歌,(3 6 artist)
我要聽月琴,(3 5 song)
我要聽張雨生的歌,(3 6 artist)
我要聽 Alan Walker 的歌,(4 7 artist)
我要聽林俊傑的歌,(3 6 artist)
我要聽古典音樂,(3 5 category)
孫露的月光小夜曲,(0 2 artist) (3 8 song)
黃鶯鶯,(0 3 artist)
涼涼,(0 2 song)
講故事來聽,(0 3 song)
學貓叫,(0 3 song)
播放剛好遇見你,(2 7 song)
我要聽悲傷的歌曲,(3 5 theme)
唱一首小蘋果,(3 6 song)
我要聽三隻小豬,(3 7 audiobook)
西洋音樂,(0 2 language)
我要聽天生歌姬,(3 7 album)
我要聽三字經,(3 6 audiobook_category)
我要聽江蕙的歌,(3 5 artist)
我要聽方大同的ili,(3 6 artist)
我要聽相聲,(3 5 audiobook_category)
播放音樂,(0 4 song)
我要聽相聲,(3 5 audiobook_category)
我要聽華語新歌,(3 5 language)
我要聽台語歌,(3 5 language)
涼涼,(0 2 song)
我要聽梁靜茹的歌,(3 6 artist)
我要聽生日快樂歌,(3 8 song)
我要聽黃乙玲的歌,(3 6 artist)
路過人間,(0 4 song)
我要聽愛情的模樣,(3 8 song)
我要聽走到飛,(3 6 song)
我要聽蔡依林的歌,(3 6 artist)
我要聽吳卓源的歌,(3 6 artist)
涼涼,(0 2 song)
播放歌曲,(0 4 song)
有聲書,(0 3 general_audiobook)
唱一首小蘋果,(3 6 song)
播放一曲相思,(2 6 song)
我要聽周杰倫的歌,(3 6 artist)
兩隻老虎,(0 4 song)
要聽月天唱的熱門歌曲,(6 8 keyword)
兩隻老虎,(0 4 song)
我要聽節奏藍調音樂,(3 7 category)
我要聽華語音樂,(3 5 language)
我要聽三隻小豬,(3 7 audiobook)
我要聽新歌排行榜,(5 8 keyword)
涼涼,(0 2 song)
我要聽爵士音樂,(3 5 category)
我要聽華語新歌,(3 5 language)
我要聽相聲選粹,(3 7 audiobook)
我要聽蔡依林的腦公,(3 6 artist) (7 9 song)
我要聽黃乙玲的歌,(3 6 artist)
華語排行榜,(0 2 language)
洪榮宏的歌曲,(0 3 artist)
我要聽煙花易冷,(3 7 song)
我要聽a lin我都記得,(8 10 song)
播放一曲相思,(2 6 song)
我要聽日文歌,(3 5 language)
我要聽紅蜻蜓,(3 6 song)
我要聽光年之外,(3 7 song)
學貓叫,(0 3 song)
我要聽劉德華的歌,(3 6 artist)
我要聽月琴,(3 5 song)
我要聽光年之外,(3 7 song)
我要聽靈魂音樂,(3 7 category)
我要聽夜空中最亮的星,(3 10 song)
我要聽嘻哈音樂,(3 5 category)
我要聽感到憤怒的歌曲,(5 7 theme)
我要聽蔡依林的歌,(3 6 artist)
我要聽邰肇玫,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
我要聽鋼琴演奏,(3 7 artist)
我要聽煙花易冷,(3 7 song)
我要聽吳卓源的歌,(3 6 artist)
我要聽我好嗎,(3 6 song)
我要聽搖滾音樂,(3 5 category)
播放周星馳的如果雨之後,(6 11 song)
故事,(0 2 general_audiobook)
早晨的音樂,(0 2 theme)
我要聽小野麗莎的歌,(3 7 artist)
蕭煌奇,(0 3 artist)
我要聽粵語歌,(3 5 language)
我要聽粵語歌,(3 5 language)
我要聽入門英語歌曲,(3 5 keyword)
我要聽我問天,(3 6 song)
我要聽相聲,(3 5 audiobook_category)
moon river,(0 2 song)
播放起風了,(2 5 song)
我想聽日文歌曲,(3 5 language)
我要聽搖滾音樂,(3 5 category)
我要聽五月天的戀愛ing,(3 6 artist) (7 9 song)
播放起風了,(2 5 song)
我要聽搖滾音樂,(3 5 category)
我要聽鄧紫棋的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽生日快樂歌,(3 8 song)
我要聽故事,(0 5 general_audiobook)
我要聽我好嗎,(3 6 song)
我想要聽周杰倫的告白氣球,(4 7 artist) (8 12 song)
學貓叫,(0 3 song)
愛我你就抱抱我,(0 7 song)
我要聽琅琊榜,(3 6 song)
學貓叫,(0 3 song)
我要聽新歌,(3 5 keyword)
我要聽嘻哈排行榜,(3 5 category)
我要聽對面的女孩看過來,(3 11 song)
我要聽于文文的歌,(3 6 artist)
幫我播放大自然音樂,(4 9 artist)
我要聽田馥甄的歌,(3 6 artist)
有一種悲傷,(0 5 song)
愛我你就抱抱我,(0 7 song)
我要聽八度空間,(3 7 album)
我要聽英文版拇指姑娘,(3 10 audiobook)
播放一曲相思,(2 6 song)
播放一曲相思,(2 6 song)
大悲咒,(0 3 song)
我們要聽童話故事是國語的,(4 8 audiobook_category)
我要聽王力宏的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
我要聽拔蘿蔔,(3 6 song)
我要聽煙花易冷,(3 7 song)
我要聽五月天兄弟,(3 6 artist)
玫瑰少年,(0 4 song)
我要聽劉德華的歌,(3 6 artist)
帥到分手,(0 4 song)
往後餘生,(0 4 song)
播放音樂,(0 4 song)
我要聽陳綺貞的歌,(3 6 artist)
涼涼,(0 2 song)
學貓叫,(0 3 song)
我要聽光年之外,(3 7 song)
我要聽煙花易冷,(3 7 song)
我要聽紅蜻蜓,(3 6 song)
播放我的滑板鞋,(2 7 song)
我要聽江蕙的歌,(3 5 artist)
我要聽音樂,(0 5 song)
我要聽 ONE OK ROCK 的歌,(4 9 artist)
我要聽華語音樂,(3 5 language)
我要聽華語排行榜,(3 5 language)
我要聽田馥甄的歌,(3 6 artist)
陳小雲,(0 3 artist)
我要聽快樂頌,(3 6 song)
我要聽琅琊榜,(3 6 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽嘻哈音樂,(3 5 category)
我要聽學貓叫,(3 6 song)
我要聽劉德華的歌,(3 6 artist)
小孩故事,(2 4 song)
我要聽光年之外,(3 7 song)
播放起風了,(2 5 song)
say this that s me,(0 5 song)
幫我播放大自然音樂,(4 9 artist)
我要聽搖滾音樂,(3 5 category)
播放音樂,(0 4 song)
我要聽爵士音樂,(3 5 category)
我要聽夢想藍圖,(3 7 song)
愛我你就抱抱我,(0 7 song)
我要聽吳卓源的歌,(3 6 artist)
我要聽獨立音樂,(3 5 category)
我要聽嘻哈音樂,(3 5 category)
我要聽搖滾音樂,(3 5 category)
我要聽周杰倫的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
我要聽對面的女孩看過來,(3 11 song)
我要聽山頂的黑狗兄,(3 9 song)
康康,(0 2 artist)
我要聽林俊傑的歌,(3 6 artist)
播放起風了,(2 5 song)
我要聽月琴,(3 5 song)
我要聽華語音樂,(3 5 language)
播放音樂,(0 4 song)
我要聽熱門歌曲,(3 5 keyword)
我要聽鄧紫棋的歌,(3 6 artist)
播放音樂,(0 4 song)
我要聽謝金燕的,(3 6 artist)
我要聽準備中,(3 6 album)
生日快樂,(0 4 song)
我要聽林俊傑的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽搖滾音樂,(3 5 category)
我要聽童謠,(3 5 theme)
我想要聽周杰倫的告白氣球,(4 7 artist) (8 12 song)
我要聽吳卓源的歌,(3 6 artist)
學貓叫,(0 3 song)
我要聽王力宏的歌,(3 6 artist)
我要聽烽火天榜,(3 7 song)
我要聽光年之外,(3 7 song)
涼涼,(0 2 song)
學貓叫,(0 3 song)
播放芭比的觸電,(2 4 artist) (5 7 song)
我要聽相聲選粹,(3 7 audiobook)
我要聽新歌,(3 5 keyword)
我要聽粵語歌,(3 5 language)
黃鶯鶯,(0 3 artist)
我要聽月琴,(3 5 song)
我要聽華語音樂,(3 5 language)
我要聽鄧麗君的歌,(3 6 artist)
我要聽我好嗎,(3 6 song)
播放起風了,(2 5 song)
我要聽買榜,(3 5 song)
我要聽五月天的派對動物,(3 6 artist) (7 11 song)
我要聽鄧麗君的歌,(3 6 artist)
我要聽買榜,(3 5 song)
播放一曲相思,(2 6 song)
我要聽吳卓源的歌,(3 6 artist)
我要聽台語歌,(3 5 language)
往後餘生,(0 4 song)
我要聽故事,(0 5 general_audiobook)
我要聽林俊傑的歌,(3 6 artist)
我要聽粵語歌,(3 5 language)
我要聽相聲,(3 5 audiobook_category)
我要聽歪批三國,(3 7 song)
有一種悲傷,(0 5 song)
陳雷,(0 2 artist)
我要聽方大同偏偏愛,(3 6 artist)
我要聽心情不好的時候適合聽的歌曲,(3 7 theme)
我要聽心靈音樂,(3 7 category)
唱一首伍佰的浪人情歌,(3 5 artist) (6 10 song)
我要聽歪批三國,(3 7 song)
我要聽韓語排行榜,(3 5 language)
播放一曲相思,(2 6 song)
我是管理員充電,(0 2 song)
我想要聽告白氣球,(4 8 song)
播放一曲相思,(2 6 song)
我要聽于文文的歌,(3 6 artist)
我要聽費玉清的歌,(3 6 artist)
我要聽粵語歌,(3 5 language)
我要聽兒歌,(3 5 song)
白安,(0 2 artist)
李玟,(0 2 artist)
唱一首小蘋果,(3 6 song)
我要聽黃明志的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
我要聽快樂的音樂,(3 6 song)
我要聽吳卓源的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽莫文蔚的歌,(3 6 artist)
我要聽搖滾音樂,(3 5 category)
我要聽情歌精選,(3 5 theme)
我要聽田馥甄的歌,(3 6 artist)
我要聽華語音樂,(3 5 language)
播放一曲相思,(2 6 song)
我要聽江蕙的歌,(3 5 artist)
播放音樂,(0 4 song)
愛我你就抱抱我,(0 7 song)
我要聽光年之外,(3 7 song)
我要聽獨立音樂,(3 5 category)
我要聽費玉清的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
我要聽張惠妹的歌,(3 6 artist)
我要聽茄子蛋的歌,(3 6 artist)
我要聽華語新歌,(3 5 language)
我要聽睡眠音樂,(3 5 theme)
我要聽張雨生的歌,(3 6 artist)
唱一首小蘋果,(3 6 song)
學貓叫,(0 3 song)
涼涼,(0 2 song)
播放一曲相思,(2 6 song)
兩隻老虎,(0 4 song)
我要聽三隻小豬,(3 7 audiobook)
我要聽林俊傑的歌,(3 6 artist)
我要聽王中平的,(3 6 artist)
我要聽鬼故事,(3 6 audiobook_category)
我要聽防彈少年團的歌,(3 8 artist)
愛我你就抱抱我,(0 7 song)
我要聽走到飛,(3 6 song)
我要聽新歌,(3 5 keyword)
我要聽煙花易冷,(3 7 song)
我要聽橄欖樹,(3 6 song)
我要聽西遊記,(3 6 audiobook)
我要聽蔡小虎的歌,(3 6 artist)
我要聽我好嗎,(3 6 song)
我要聽鄧紫棋的歌,(3 6 artist)
學貓叫,(0 3 song)
播放下組合的音樂,(0 8 song)
我要聽愛的可能,(3 7 song)
銀河係有幾顆星星,(6 8 song)
播放我的一九九七,(0 8 song)
我要聽音樂,(0 5 song)
我想聽快樂情境的歌,(3 5 theme)
我要聽床邊故事,(3 7 audiobook_category)
沙漠駱駝,(0 4 song)
西洋音樂,(0 2 language)
播放一曲相思,(2 6 song)
我要聽兒歌,(3 5 song)
我要聽學貓叫,(3 6 song)
我要聽華語音樂,(3 5 language)
小星星,(0 3 song)
播放一曲相思,(2 6 song)
我要聽黃明志的歌,(3 6 artist)
黃小琥,(0 3 artist)
我要聽蔡琴的歌,(3 5 artist)
我要聽鬼故事,(3 6 audiobook_category)
我要聽節奏藍調音樂,(3 7 category)
我要聽八度空間,(3 7 album)
我要聽周杰倫的歌,(3 6 artist)
播放音樂,(0 4 song)
taylor swift,(0 3 artist)
我要聽鄧麗君的歌,(3 6 artist)
播放小紅帽的兒童故事,(6 10 audiobook_category)
我要聽派對動物,(3 7 song)
我要聽伍佰的歌,(3 6 album)
汪風扇,(0 3 artist)
我要聽光年之外,(3 7 song)
播放起風了,(2 5 song)
我要聽小星星,(3 6 song)
我要聽雷鬼音樂,(3 5 category)
我要聽煙花易冷,(3 7 song)
播放伍佰鋼鐵人,(2 4 artist)
我要聽孫露的歌,(3 5 artist)
我要聽江蕙的歌,(3 5 artist)
播放一曲相思,(2 6 song)
我要聽走到飛,(3 6 song)
聽聽吧,(0 2 album)
我要聽新歌,(3 5 keyword)
我要聽吳卓源的歌,(3 6 artist)
我要聽故事,(0 5 general_audiobook)
為什麼沒有鋼琴音樂,(5 9 artist)
moon river,(0 2 song)
我要聽爵士音樂,(3 5 category)
我要聽搖滾音樂排行榜,(3 5 category) (7 10 keyword)
我要聽你喜歡我的歌嗎,(3 10 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽周杰倫的歌,(3 6 artist)
日本的歌,(0 2 language)
洪榮宏,(0 3 artist)
我要聽買榜,(3 5 song)
我要聽華語新歌,(3 5 language)
我要聽徐佳瑩的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
我要聽費玉清的歌,(3 6 artist)
我要聽搖滾音樂,(3 5 category)
我要聽買榜,(3 5 song)
播放一曲相思,(2 6 song)
我要聽林俊傑的歌,(3 6 artist)
有一種悲傷,(0 5 song)
我要聽煙花易冷,(3 7 song)
播放喜歡你,(2 5 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽蔡小虎的歌,(3 6 artist)
我要聽英文版綠野仙蹤,(3 10 audiobook)
我要聽古典音樂,(3 5 category)
陳昇,(0 2 artist)
播放一曲相思,(2 6 song)
我要聽蕭敬騰的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我想聽無言的歌,(3 7 song)
我小爸幫我轉到next瑞特,(7 10 song)
我要聽買榜,(3 5 song)
愛我你就抱抱我,(0 7 song)
我要聽煙花易冷,(3 7 song)
我要聽搖滾音樂排行榜,(3 5 category) (7 10 keyword)
播放日語歌,(2 4 language)
我要聽華語新歌,(3 5 language)
我要聽爵士音樂排行榜,(3 5 category) (7 10 keyword)
Beat it,(0 2 song)
我要聽什麼了,(3 6 song)
我要聽新歌,(3 5 keyword)
我要聽華語新歌,(3 5 language)
我要聽神仙流年,(3 7 song)
我要聽 Alan Walker 的歌,(4 7 artist)
我要聽周杰倫的歌,(3 6 artist)
有客人,(0 3 song)
學貓叫,(0 3 song)
播放起風了,(2 5 song)
唱一首小蘋果,(3 6 song)
我要聽徐佳瑩的歌,(3 6 artist)
我要聽吳卓源的歌,(3 6 artist)
唱一首小蘋果,(3 6 song)
卡農的歌,(0 2 song)
西洋音樂,(0 2 language)
我想要聽周杰倫的告白氣球,(4 7 artist) (8 12 song)
小豹小豹我要聽,(0 4 audiobook)
涼涼,(0 2 song)
我要聽不知唄,(3 6 song)
我要聽買榜,(3 5 song)
播放一曲相思,(2 6 song)
播放一曲相思,(2 6 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽王力宏的歌,(3 6 artist)
我要聽王菲的歌,(3 5 album)
播放一曲相思,(2 6 song)
唱一首小蘋果,(3 6 song)
我要聽我好嗎,(3 6 song)
我要聽許茹芸的歌,(3 6 artist)
我要聽兒歌,(3 5 song)
我要聽小野麗莎的歌,(3 7 artist)
幫我放韋禮安的還是會,(3 6 artist) (7 10 song)
涼涼,(0 2 song)
播放音樂,(0 4 song)
我要感謝你曾來過,(2 8 song)
播放一曲相思,(2 6 song)
我要聽陳綺貞的歌,(3 6 artist)
我要聽歪批三國,(3 7 song)
播放一曲相思,(2 6 song)
我要聽張信哲的歌,(3 6 artist)
我要聽蔡小虎的歌,(3 6 artist)
我要聽吳卓源的歌,(3 6 artist)
我要聽江蕙的歌,(3 5 artist)
愛我你就抱抱我,(0 7 song)
播放阿拉丁,(2 5 song)
我要聽陳綺貞的歌,(3 6 artist)
我要聽浪漫的音樂,(3 5 theme)
學貓叫,(0 3 song)
我要聽走到飛,(3 6 song)
我要聽我問天,(3 6 song)
我要聽鄧麗君的歌,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
涼涼,(0 2 song)
我要聽古典音樂,(3 5 category)
唱一首小蘋果,(3 6 song)
我要聽嘻哈音樂,(3 5 category)
愛我你就抱抱我,(0 7 song)
吳宗憲,(0 3 artist)
我要聽華語新歌,(3 5 language)
生僻字,(0 3 song)
我要聽英文版綠野仙蹤,(3 10 audiobook)
西洋音樂,(0 2 language)
陳昇,(0 2 artist)
我要聽林俊傑的歌,(3 6 artist)
我要聽音樂,(0 5 song)
我要聽對面的女孩看過來,(3 11 song)
我要聽華語新歌,(3 5 language)
我要聽張雨生的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
我要聽生日快樂歌,(3 8 song)
幫我播放大自然音樂,(4 9 artist)
我要聽相聲,(3 5 audiobook_category)
我要聽鬼故事,(3 6 audiobook_category)
伍思凱,(0 3 artist)
我要聽田馥甄的歌,(3 6 artist)
我要聽春天的歌曲,(3 7 song)
播放一曲相思,(2 6 song)
我要聽古典音樂,(3 5 category)
播放一曲相思,(2 6 song)
我有j八low,(0 5 song)
我要聽黃明志的歌,(3 6 artist)
我要聽心靈音樂,(3 7 category)
我要聽新歌排行榜,(5 8 keyword)
我要聽光年之外,(3 7 song)
唱一首小蘋果,(3 6 song)
我要聽光年之外,(3 7 song)
我要聽相聲,(3 5 audiobook_category)
我要聽周杰倫的歌,(3 6 artist)
鄭秀文,(0 3 artist)
播放音樂,(0 4 song)
我要聽吻別,(3 5 song)
我要聽愛情的模樣,(3 8 song)
涼涼,(0 2 song)
我要聽于文文的歌,(3 6 artist)
我要聽范曉萱的大聲唱歌,(3 6 artist) (7 11 song)
我要聽嘻哈音樂,(3 5 category)
謝金燕,(0 3 artist)
兩隻老虎,(0 4 song)
播放韓語歌,(2 4 language)
我要聽茄子蛋的歌,(3 6 artist)
沙漠駱駝,(0 4 song)
我要聽課強的熱門歌曲,(6 8 keyword)
我要聽張學友的歌,(3 6 artist)
